9048,"52707","52707006","5270700603694","AVENIDA MIGUEL HIDALGO","",-92.116350,15.436450
8982,"52707","52707006","5270700603694","","AVENIDA MIGUEL HIDALGO",-92.116350,15.436450
9263,"52707","52707006","5270700603724","MARIANO MATAMOROS","CAMINO A COLONIA EL PROGRESO",-92.043910,15.597440
9134,"52707","52707006","5270700603724","CAMINO A COLONIA EL PROGRESO","MARIANO MATAMOROS",-92.043910,15.597440
9135,"52707","52707006","5270700603724","PROLONGACI�N REP�BLICA","",-92.048440,15.602460
9136,"52707","52707006","5270700603724","","PROLONGACI�N REP�BLICA",-92.048440,15.602460
9137,"52707","52707006","5270700603724","CUAUHT�MOC","CAMINO A COLONIA ALTAMIRANO",-92.043940,15.595640
9138,"52707","52707006","5270700603724","CAMINO A COLONIA ALTAMIRANO","CUAUHT�MOC",-92.043940,15.595640
9139,"52707","52707006","5270700603724","CAMINO A GUADALUPE VICTORIA","PROLONGACI�N REP�BLICA",-92.049280,15.603330
9140,"52707","52707006","5270700603724","PROLONGACI�N REP�BLICA","CAMINO A GUADALUPE VICTORIA",-92.049280,15.603330
9141,"52707","52707006","5270700603724","GUILL�N","CAMINO A AGUACATILLO",-92.038000,15.599550
9142,"52707","52707006","5270700603724","CAMINO A AGUACATILLO","GUILL�N",-92.038000,15.599550
9143,"52707","52707006","5270700603724","MARIANO MATAMOROS","CARRETERA A EL PACAYAL",-92.041640,15.602390
9144,"52707","52707006","5270700603724","CARRETERA A EL PACAYAL","MARIANO MATAMOROS",-92.041640,15.602390
9981,"52707","52707007","5270700703754","FRANCISCO I MADERO","REFORMA",-92.438710,16.527170
9625,"52707","52707007","5270700703754","REFORMA","FRANCISCO I MADERO",-92.438710,16.527170
11427,"52707","52707008","5270700803786","1RA CALLE ORIENTE S","",-92.726460,15.868110
11338,"52707","52707008","5270700803786","","1RA CALLE ORIENTE S",-92.726460,15.868110
11585,"52707","52707008","5270700803788","5TA CALLE PONIENTE S","7MA AVENIDA SUR O",-92.731990,15.870370
11490,"52707","52707008","5270700803788","7MA AVENIDA SUR O","5TA CALLE PONIENTE S",-92.731990,15.870370
11339,"52707","52707008","5270700803786","2DA CALLE ORIENTE S","",-92.726640,15.867030
11340,"52707","52707008","5270700803786","","2DA CALLE ORIENTE S",-92.726640,15.867030
11489,"52707","52707008","5270700803787","2DA AVENIDA NORTE O","4TA CALLE PONIENTE N",-92.725490,15.875760
11768,"52707","52707008","5270700803790","2DA AVENIDA NORTE O","4TA CALLE PONIENTE N",-92.725490,15.875760
11428,"52707","52707008","5270700803787","4TA CALLE PONIENTE N","2DA AVENIDA NORTE O",-92.725490,15.875760
11643,"52707","52707008","5270700803790","4TA CALLE PONIENTE N","2DA AVENIDA NORTE O",-92.725490,15.875760
11429,"52707","52707008","5270700803787","2DA AVENIDA NORTE O","5TA CALLE PONIENTE N",-92.726190,15.876390
11644,"52707","52707008","5270700803790","2DA AVENIDA NORTE O","5TA CALLE PONIENTE N",-92.726190,15.876390
11430,"52707","52707008","5270700803787","5TA CALLE PONIENTE N","2DA AVENIDA NORTE O",-92.726190,15.876390
